Club,1 sp - 1d4 bludgeoning - 2 lb - Light
Dagger,2 gp - 1d4 piercing - 1 lb - Finesse / Light / Thrown (range 20 to 60)
Greatclub,2 sp - 1d8 bludgeoning - 10 lb - Two Handed
Handaxe,5 gp - 1d6 slashing - 2 lb - Light / Thrown (range 20 to 60)
Javelin,5 sp - 1d6 piercing - 2 lb - Thrown (range 30 to 120)
Light Hammer,2 gp - 1d4 bludgeoning - 2 lb - Light / Thrown (range 20 to 60)
Mace,5 gp - 1d6 bludgeoning - 4 lb
Quarterstaff,2 sp - 1d6 bludgeoning - 4 lb - Versatile (1d8)
Sickle,1 gp - 1d4 slashing - 2 lb - Light
Spear,1 gp - 1d6 piercing - 3 lb - Thrown (range 20 to 60) / Versatile (1d8)
